Comune;N. Proc.;Anno;Procedimenti;Prov.;Regione;Abitanti
TERME VIGLIATORE;2;2016 ;Rieq.;ME;SICILIA;7395
TERME VIGLIATORE;;2024 ;Diss.;ME;SICILIA;7308
TERNI;2;2016 ;Rieq.;TR;UMBRIA;111501
TERNI;;2018 ;Diss.;TR;UMBRIA;111189
TERRACINA;1;2011 ;Diss.;LT;LAZIO;43779
TERRANOVA DA SIBARI;1;2021 ;Rieq.;CS;CALABRIA;4607
TERRAVECCHIA;1;1989 ;Diss.;CS;CALABRIA;1535
TERZIGNO;1;1989 ;Diss.;NA;CAMPANIA;12592
TESSENNANO;1;1995 ;Diss.;VT;LAZIO;467
TEVEROLA;1;1994 ;Diss.;CE;CAMPANIA;9042
THIESI;1;2001 ;Diss.;SS;SARDEGNA;3165
TOLFA;1;1989 ;Diss.;RM;LAZIO;4871
TORA E PICCILLI;1;2021 ;Diss.;CE;CAMPANIA;786
TORCHIAROLO;1;2015 ;Rieq.;BR;PUGLIA;5453
TORELLA DEL SANNIO;1;1989 ;Diss.;CB;MOLISE;912
TORITTO;1;2016 ;Rieq.;BA;PUGLIA;8530
TORNIMPARTE;1;1995 ;Diss.;AQ;ABRUZZO;3090
TORRICE;2;2022 ;Rieq.;FR;LAZIO;4692
TORRICE;;2023 ;Diss.;FR;LAZIO;4679
TORRICELLA;1;1989 ;Diss.;TA;PUGLIA;3965
TORTORA;1;1989 ;Diss.;CS;CALABRIA;5071
TORTORICI;3;2012 ;Rieq.;ME;SICILIA;6716
TORTORICI;;2016 ;Diss.;ME;SICILIA;6435
TORTORICI;;2022 ;Diss.;ME;SICILIA;5705
TOSCOLANO-MADERNO;1;2014 ;Rieq.;BS;LOMBARDIA;8100
TRABIA;2;2019 ;Rieq.;PA;SICILIA;10120
TRABIA;;2020 ;Diss.;PA;SICILIA;10112
TREMESTIERI ETNEO;1;2013 ;Rieq.;CT;SICILIA;20841
TRENTINARA;1;1989 ;Diss.;SA;CAMPANIA;1688
TRENTOLA DUCENTA;2;1992 ;Diss.;CE;CAMPANIA;11946
TRENTOLA DUCENTA;;2023 ;Rieq.;CE;CAMPANIA;20512
TREVI NEL LAZIO;2;1999 ;Diss.;FR;LAZIO;1981
TREVI NEL LAZIO;;2019 ;Rieq.;FR;LAZIO;1801
TRICARICO;1;2014 ;Rieq.;MT;BASILICATA;5549
TRIVENTO;2;2008 ;Diss.;CB;MOLISE;4987
TRIVENTO;;2021 ;Rieq.;CB;MOLISE;4499
TURRIVALIGNANI;1;2013 ;Diss.;PE;ABRUZZO;896
TURSI;2;2016 ;Rieq.;MT;BASILICATA;5037
TURSI;;2020 ;Diss.;MT;BASILICATA;4862
UCRIA;1;1990 ;Diss.;ME;SICILIA;1623
UMBRIATICO;1;2001 ;Diss.;KR;CALABRIA;973
USTICA;2;2017 ;Rieq.;PA;SICILIA;1308
USTICA;;2023 ;Diss.;PA;SICILIA;1310
VACCARIZZO ALBANESE;1;1990 ;Diss.;CS;CALABRIA;1395
VAGLIO BASILICATA;1;1989 ;Diss.;PZ;BASILICATA;2189
VAL DELLA TORRE;1;2023 ;Rieq.;TO;PIEMONTE;3976
VALDERICE;1;1993 ;Diss.;TP;SICILIA;10686
VALERA FRATTA;1;1992 ;Diss.;LO;LOMBARDIA;930
VALGIOIE;1;2022 ;Rieq.;TO;PIEMONTE;957
VALLE DELL'ANGELO;1;1993 ;Diss.;SA;CAMPANIA;535
VALLE DI MADDALONI;2;1991 ;Diss.;CE;CAMPANIA;2374
VALLE DI MADDALONI;;2020 ;Diss.;CE;CAMPANIA;2687
VALLECORSA;2;1990 ;Diss.;FR;LAZIO;3462
VALLECORSA;;2018 ;Rieq.;FR;LAZIO;2574
VALLEMAIO;1;1992 ;Diss.;FR;LAZIO;1134
VALLEVE;1;2018 ;Rieq.;BG;LOMBARDIA;133
VALTOPINA;1;2022 ;Rieq.;PG;UMBRIA;1280
VALVERDE;1;1992 ;Diss.;CT;SICILIA;5701
VARALLO POMBIA;2;2013 ;Rieq.;NO;PIEMONTE;5012
VARALLO POMBIA;;2014 ;Diss.;NO;PIEMONTE;4980
VASTO;1;2022 ;Rieq.;CH;ABRUZZO;40692
VELLETRI;1;2009 ;Diss.;RM;LAZIO;51394
VENAFRO;1;2014 ;Rieq.;IS;MOLISE;11434
VERBICARO;1;2021 ;Rieq.;CS;CALABRIA;2587
VETTO;1;1991 ;Diss.;RE;EMILIA ROMAGNA;2107
VEZZA D'ALBA;1;2019 ;Rieq.;CN;PIEMONTE;2272
VIAREGGIO;1;2014 ;Diss.;LU;TOSCANA;63447
VIBO VALENTIA;4;2013 ;Diss.;VV;CALABRIA;33118
VIBO VALENTIA;;2013 ;Rieq.;VV;CALABRIA;33118
VIBO VALENTIA;;2019 ;Rieq.;VV;CALABRIA;31806
VIBO VALENTIA;;2023 ;Rieq.;VV;CALABRIA;31032
VICCHIO;1;2025 ;Rieq.;FI;TOSCANA;8079
VICO DEL GARGANO;1;1989 ;Diss.;FG;PUGLIA;8383
VICOLUNGO;1;1992 ;Diss.;NO;PIEMONTE;816
VICOVARO;1;2019 ;Rieq.;RM;LAZIO;3815
VIGGIANELLO;1;1995 ;Diss.;PZ;BASILICATA;3893
VILLA DI BRIANO;2;1989 ;Diss.;CE;CAMPANIA;5271
VILLA DI BRIANO;;2016 ;Diss.;CE;CAMPANIA;7087
VILLA LITERNO;2;1991 ;Diss.;CE;CAMPANIA;10489
VILLA LITERNO;;2016 ;Diss.;CE;CAMPANIA;11985
VILLA MINOZZO;1;1989 ;Diss.;RE;EMILIA ROMAGNA;4116
VILLA SAN GIOVANNI;1;2021 ;Diss.;RC;CALABRIA;12852
VILLABATE;1;2024 ;Diss.;PA;SICILIA;19435
VILLAFRANCA IN LUNIGIANA;2;2016 ;Rieq.;MS;TOSCANA;4770
VILLAFRANCA IN LUNIGIANA;;2024 ;Diss.;MS;TOSCANA;4726
VILLAFRANCA SICULA;1;1992 ;Diss.;AG;SICILIA;1695
VILLAFRANCA TIRRENA;1;2016 ;Rieq.;ME;SICILIA;8584
VILLALAGO;2;2012 ;Rieq.;AQ;ABRUZZO;587
VILLALAGO;;2013 ;Diss.;AQ;ABRUZZO;579
VILLALBA;1;1994 ;Diss.;CL;SICILIA;2132
VILLAREGGIA;1;2023 ;Rieq.;TO;PIEMONTE;996
VILLARICCA;2;2017 ;Rieq.;NA;CAMPANIA;31226
VILLARICCA;;2018 ;Diss.;NA;CAMPANIA;31223
VILLASTELLONE;1;2013 ;Rieq.;TO;PIEMONTE;4898
VILLATA;1;2020 ;Rieq.;VC;PIEMONTE;1556
VITICUSO;1;1990 ;Diss.;FR;LAZIO;401
VIZZINI;1;2018 ;Diss.;CT;SICILIA;6072
VOLLA;1;2023 ;Diss.;NA;CAMPANIA;25664
VOLTURARA IRPINA;1;2011 ;Diss.;AV;CAMPANIA;3423
ZAGARISE;2;2015 ;Rieq.;CZ;CALABRIA;1674
ZAGARISE;;2018 ;Diss.;CZ;CALABRIA;1604
ZAPPONETA;1;2012 ;Diss.;FG;PUGLIA;3334
ZAVATTARELLO;1;2024 ;Rieq.;PV;LOMBARDIA;881
