BDAP,NORD-EST,ISOLE,NORD-OVEST,SUD,CENTRO
129342930475939201,0,0,1,0,0
129442930457306502,0,1,0,0,0
129542928219724801,0,1,0,0,0
129542930532555102,0,0,1,0,0
129542930538128702,0,0,0,0,1
129642930544823502,0,0,1,0,0
129742930546105901,0,0,1,0,0
129742930549689001,0,0,0,0,1
129942930463915001,0,1,0,0,0
129942930517119002,0,1,0,0,0
131242930547233301,1,0,0,0,0
131342930449411402,0,0,0,1,0
131742930464510202,0,0,0,0,1
131942930456273702,1,0,0,0,0
132042930544478501,1,0,0,0,0
132142930516846102,0,0,1,0,0
132142930543892602,1,0,0,0,0
132242930544450901,0,0,0,0,1
132242930546422601,0,0,1,0,0
132342930477421702,1,0,0,0,0
132342930525346801,0,0,0,0,1
132442930316683302,0,0,0,1,0
132642930457432501,0,0,0,1,0
132642930528427002,0,0,0,1,0
133042930530349202,0,0,1,0,0
133042930549781002,0,0,0,0,1
133242930477853802,1,0,0,0,0
133342930526510901,0,0,0,1,0
133442929373095001,0,1,0,0,0
133742930510374501,0,0,1,0,0
133842928067730402,0,0,1,0,0
133942930515980301,0,0,0,1,0
133942930517455202,0,0,1,0,0
133942930519424601,0,0,1,0,0
134042929268266502,0,0,1,0,0
134142930456974502,0,1,0,0,0
134342930526904002,0,0,1,0,0
134342930541890202,0,0,0,1,0
134442928030278202,0,0,0,1,0
134442930530421902,0,0,0,1,0
134542928005472101,0,1,0,0,0
134542930452103202,0,0,1,0,0
134542930479743002,1,0,0,0,0
134542930515885601,0,0,1,0,0
134642930516950001,1,0,0,0,0
134642930545090501,0,0,0,0,1
134942930519119102,0,0,1,0,0
134942930538026601,0,0,0,1,0
135042930544385201,0,0,0,1,0
135142930528286501,0,0,1,0,0
135242929303665102,1,0,0,0,0
135442930470672302,0,1,0,0,0
135442930477857901,0,0,0,0,1
135442930507917802,0,0,0,0,1
135442930542827201,0,0,1,0,0
135542928235893302,0,0,0,1,0
135642930479563102,0,0,0,1,0
135742930519956701,0,0,1,0,0
135842928236098401,0,0,0,1,0
135842930536357601,0,0,0,1,0
136042930476722802,0,0,0,0,1
136142930455392102,0,0,0,1,0
136142930458954702,0,0,0,1,0
136242930459147501,1,0,0,0,0
136242930477909801,0,0,1,0,0
136442929721382302,1,0,0,0,0
136542928086560001,0,0,0,0,1
136542930528454802,0,0,0,0,1
136642929104783902,0,0,0,1,0
136642930473633302,0,0,0,0,1
136642930516789801,0,0,1,0,0
136642930523848802,0,0,0,0,1
136642930529001601,0,0,1,0,0
136642930529692001,0,0,1,0,0
136742930447072601,0,0,0,0,1
136742930524580802,0,0,0,1,0
136742930529409401,0,0,0,1,0
136842930473053701,0,0,0,1,0
136842930509823702,0,0,1,0,0
137142930450130801,0,0,0,1,0
137142930542063202,0,0,0,0,1
137142930548214702,1,0,0,0,0
137242930534526902,0,0,1,0,0
137442928091164701,0,0,1,0,0
137442930473557502,1,0,0,0,0
137442930517981002,0,0,0,0,1
137642930535030001,0,0,0,1,0
137742930541310502,0,1,0,0,0
137842930529236702,0,0,0,1,0
138042930472490102,0,0,0,0,1
138042930532021202,0,0,1,0,0
138242930467934502,0,0,0,1,0
138242930516299601,0,1,0,0,0
138542930473712401,0,1,0,0,0
138542930510041202,0,0,0,0,1
138642930447265701,0,0,1,0,0
138642930528352101,0,0,0,1,0
138742930466694401,0,0,0,0,1
138842930447969802,0,0,1,0,0
138842930510699801,0,0,1,0,0
139042930518753001,0,0,1,0,0
139242929091334801,0,0,1,0,0
139242930528119601,0,1,0,0,0
139342930529079402,1,0,0,0,0
139342930536041402,1,0,0,0,0
139642930470719502,0,0,1,0,0
139842927994817202,0,1,0,0,0
139842930508561902,0,1,0,0,0
139942930542738402,0,0,1,0,0
141142929230384801,1,0,0,0,0
141342930533725002,0,0,0,0,1
141542927945008302,0,0,1,0,0
141942930527918802,0,0,0,1,0
142042928242898502,0,0,1,0,0
142242930521644402,1,0,0,0,0
142242930527228701,0,0,0,0,1
142342930479210702,0,0,1,0,0
142342930543992402,0,0,0,1,0
142542930456763202,0,0,1,0,0
142542930510792801,0,0,1,0,0
142542930528712602,1,0,0,0,0
142642930466984202,0,0,1,0,0
142742930454799701,0,0,1,0,0
142742930545407002,0,0,0,1,0
142842930526424402,0,0,1,0,0
142942930519535801,0,0,0,1,0
142942930526801701,1,0,0,0,0
142942930544449401,0,1,0,0,0
