Attivo_2008,Attivo_2009,Attivo_2010,Attivo_2011,Attivo_2012,Attivo_2013,Attivo_2014,Attivo_2015,Attivo_2016,Attivo_2017,Attivo_2018,Attivo_2019,Attivo_2020,Attivo_2021,Attivo_2022,Attivo_2023
5160200.0,5225642.0,5392242.0,5919225.0,6822043.7299999995,7059945.77,7558460.630000001,8220180.07,6148397.323333333,4076614.5766666667,2004831.83,6629207.66,7323904.77,13365555.84,12617908.1,14469000.06
5524060.0,5572301.0,5558606.0,5933232.0,5966574.470000001,5820436.109999999,6495190.6899999995,6066363.1899999995,7280790.279999999,8495217.370000001,9709644.46,10924071.55,11208368.86,12577268.75,14784407.65,14997993.9
10949812.0,11860693.0,12531384.0,11722695.0,11664450.02,12237777.610000001,12060008.23,11900111.99,11883362.88,11866613.77,11849864.66,11833115.55,11833115.55,11833115.55,16356871.62,15511177.68
34397578.0,40045210.0,41026074.0,42279067.0,42354708.980000004,42381463.19,42299538.849999994,41130289.28,42795291.72,43190389.49,44397431.45,47825004.95,49252292.27,50537813.8,52165911.3,54685931.75
12684967.0,12401076.0,12513922.0,13106675.0,12466604.159999998,12291518.41,12445008.004999999,12598497.6,13986916.18,15455647.9,14680863.96,15650270.78,16271588.65,17466681.93,18788093.24,20161931.29
36795021.0,15178933.0,15863024.0,15892244.0,15475957.56,15433327.43,15093606.58,14872965.85,13413465.79,15478134.43,16304361.22,16339551.35,17525416.46,17725454.17,18843847.94,19804376.1
3819516.0,3748677.0,4800283.0,5113282.0,5628724.96,5569949.87,4361832.23,4140738.33,4335640.533333333,4530542.736666667,4725444.94,5432035.62,8450067.96,9189020.99,12232598.93,12665456.76
6452308.0,6626603.0,7646303.0,9124199.0,7997465.68,18468036.47,18844569.52,18812550.26333333,18780531.006666668,18748511.75,18336349.795,17924187.84,17646892.6,18269642.24,19016414.34,21117381.54
64371459.0,69140804.0,72015404.0,70777851.0,72781778.32000001,75953825.93,66005214.42,63448748.85,62209346.66,63131397.47,65254526.08,73048667.18,77846575.24,82689021.76,80750774.4,84130593.89
1211397.0,1390666.0,1388865.0,1237728.0,1977819.17,2280510.42,2162521.48,2548863.2199999997,3431447.63,4314032.04,5196616.45,6079200.86,6167399.78,6621828.71,6701827.64,7601465.29
17181311.0,17049486.0,17025499.0,16856129.0,15430742.87,15881051.56,15415096.309999999,14709553.059999999,15812068.45,16914583.84,16770408.66,16639553.49,17417792.64,17201409.82,17644547.63,17710528.48
4203833.0,4473266.0,4479549.0,4498953.0,4274058.470000001,4065341.0300000003,3929400.46,4057772.8499999996,4003978.59,3950184.3299999996,3896390.07,3941855.69,3959850.11,4280698.98,4460154.0,4537138.47
4938136.0,4751526.0,4734428.5,4717331.0,5616687.5600000005,5794966.95,5478318.510000001,5616346.003333334,5754373.496666667,5892400.99,6124574.95,6395863.89,6619001.01,5600925.45,6305012.27,7363918.31
6602236.0,5959460.0,7084812.0,7868857.0,6567313.0,6587016.53,6759212.24,5782630.27,5168495.82,4554361.37,20521507.77,20398616.62,22559000.47,23927311.95,24659476.24,26371996.71
33969066.0,34163866.0,35331176.0,35684855.0,33472514.130000003,34306544.57,32091419.389999997,32136967.17,32401022.19,31930852.88,31508686.65,31960095.47,29367305.16,29204924.74,25764638.53,28094359.01
1935449.0,1943581.0,2002308.0,2048532.0,2358710.26,2443983.69,2595166.75,2606441.47,2677310.276666667,2748179.0833333335,2819047.89,2910908.65,3028481.14,3434470.07,3467501.58,3774976.84
16261325.0,17073464.0,20097206.0,20643669.0,22591513.78,24759640.409999996,24756321.57,26582407.970000003,26119097.103333335,25655786.23666667,25192475.37,27479090.68,26427435.08,28017625.65,28950833.19,40332689.38
31609392.0,34163709.0,34189025.0,36046370.0,37938841.52,42138665.33,40540439.260000005,39456713.76,31195051.56,36282280.49,28301268.88,29936811.13,30838197.8,31974571.99,35106194.65,39201871.01
616128.0,966449.0,464832.0,721487.0,727554.56,681749.1799999999,588223.76,594143.16,615394.7025,636646.245,657897.7875,679149.33,341451.14,832419.74,830377.46,716000.62
13869126.0,13204164.0,13388976.0,13321607.0,13706857.39,14020540.42,17326863.14,17910578.744,18494294.348,19078009.952,19661725.556,20245441.16,6421518.48,18944412.55,21803100.0,23164541.63
13751726.0,14124139.0,15046553.0,16172708.0,14643980.940000001,15525257.120000001,14739268.379999999,14444372.120000001,15266539.115000002,16088706.110000001,16910873.105,17733040.1,17715879.89,17898122.65,17645378.69,15310254.18
16009314.0,11786531.0,12001569.0,11997132.0,12060859.82,12660922.08,13079934.88,11756439.97,12256928.103333334,12757416.236666666,13257904.37,22222357.31,22282230.16,24440468.97,25795352.44,28670330.47
5640303.0,6522857.0,6675463.0,7694741.0,7630144.800000001,8863385.68,9765486.65,9227532.48,8818491.5825,8409450.685,8000409.7875,7591368.89,9028538.11,10010886.75,9473892.27,9580658.11
14504509.0,14903381.0,15948491.0,16467206.0,16371448.989999998,12861635.73,12482892.25,12104148.77,11810371.99,11516595.21,14491611.18,12147851.44,12060350.43,12187417.48,12388362.07,13483043.09
100983093.0,102547832.0,104688830.0,106707231.0,108554182.21999998,110786652.60000001,109248732.39000002,108053679.76,104790553.87,105931484.16,126582284.81,123344379.84,125467511.84,126622892.45,125263522.32,126568552.58
58035683.0,54831147.0,57543328.0,57724461.0,34276391.21,67752988.34,74986741.02000001,66034218.27,70000714.52,64536006.45,65939568.23,68497874.27,72145546.51,73196830.37,80640573.82,88999829.89
17539676.0,16781974.0,16504534.0,17182834.0,17269079.76,17912854.92,17709377.1,16720747.84,17436896.06,18153044.28,18869192.5,19343330.24,20525883.29,21199655.69,23231917.58,23320049.15
10986590.0,10785589.0,10938523.0,11172438.0,10561912.889999999,10247689.909999998,10009532.02,3715304.0799999996,3663733.55,3612163.02,3560592.49,3596921.86,3622938.51,3791809.73,4709710.42,4059544.0
24983097.0,25326036.0,20943814.0,22323030.0,24286072.32,24714177.770000003,25370214.24,23983911.430000003,1086064.2,25450322.53,19416036.46,21956771.63,21061039.2,23806463.69,24035800.98,44287578.63
193601666.0,196659897.0,201810799.0,211065931.0,210213202.29,221565110.95999998,218655817.95,217803402.50000003,256956888.94,269948397.2,272698765.47,279965256.52,289231398.7,290488783.21,302519715.13,308019964.3
4272865.0,4550506.0,3142570.0,3235189.0,3183910.1,4915453.42,5396495.93,8243726.12,6681654.62,5119583.12,5370661.32,4777770.05,4897098.43,4878360.33,5063414.3,5447447.11
10222841.0,10073258.0,11125384.0,11112114.0,11264828.33,11073748.330000002,10896969.080000002,10874582.23,10886633.785,10898685.34,11013367.36,11106915.72,11081474.21,11419264.01,11484063.23,12084853.5
60174271.0,60478595.0,44348516.0,44600782.0,43997143.43,42992485.49,40251787.864999995,37511090.239999995,37492183.65,36238181.35,36456532.89,37049603.05,39153742.54,39508206.42,43518313.63,46998969.6
14362708.0,14707071.0,15418278.0,15384113.0,15085686.99,15112371.6,14687255.219999999,14262138.84,14476799.433333334,14691460.026666665,14906120.62,15135113.67,16006319.7,16259416.94,16440312.93,16414875.82
7134358.0,6921534.0,7077271.0,6221214.0,6453465.1,6830787.859999999,7520113.12,6211240.56,5772476.2225,5333711.885,4894947.547499999,4456183.21,4991032.32,5593169.4,5547686.67,5309315.38
36440576.0,22074225.0,19703710.0,18812682.0,16875042.95,17585338.340000004,18030829.59,18213157.64,21463702.88,22492316.455,23520930.03,24593221.63,27123059.87,31923859.48,35250005.05,40900134.87
9489771.0,9548005.0,9548005.0,9929102.0,9576436.77,9576436.77,8945074.629999999,8897404.68,8849734.73,8802064.78,8754394.83,8706724.88,8724753.06,8683673.41,8901731.28,8683633.4
18634251.0,17970286.0,18881050.0,18513871.0,19067431.74,19209369.44,20671424.36,21429334.740000002,21720885.773333333,22012436.80666667,22303987.84,19470045.45,20106493.26,21490263.74,23515641.67,24084659.03
95301496.0,95951164.0,98566847.0,97906144.0,95942615.32,129410696.22,131021406.03,118041050.5,125297551.15,138647467.55,146961631.89,136798320.35,141920234.55,143087372.48,135807895.23,134102459.29
17769454.0,17095838.0,16503835.0,17556389.0,16649670.95,15487977.32,14320764.74,14251584.74,14219131.5,14605929.16,13964138.9,14304866.49,16504877.43,18278031.26,21925091.87,22157659.83
18236056.0,18754141.0,19409251.0,19525192.0,14480220.32,20338747.82,20024521.69,20270588.21,20185113.34,20099638.470000003,20014163.6,20448186.29,21400714.97,22019598.25,22711255.15,23191571.73
19645578.0,22676912.0,19505833.0,26683530.0,15927078.27,15048982.809999999,14792731.48,14315374.1375,13838016.795,13360659.4525,12883302.11,14149349.78,13433479.61,13530995.84,14376208.96,13817808.46
100376866.0,97552619.0,103222029.0,105756662.0,261736049.3,104909763.97,102896357.52,107750755.58000001,92776010.93,77439256.8,79661432.14,90647276.87,103882120.17,128279239.76,138915424.89,103212625.61
27414720.0,27541462.0,33262566.0,32603522.0,32500062.29,32311562.799999997,31427109.47,30075920.48,31265588.77,30770108.73,30864798.93,31293990.13,33457353.98,33081038.48,35251915.01,36750119.11
6524642.0,6406145.0,6418451.49,6430757.9799999995,6443064.47,6455370.96,6467677.449999999,6479983.9399999995,6589456.645,6698929.35,6808402.055,6917874.76,7448617.4,7321213.79,12621113.77,12621113.77
3703010.0,3947523.0,4069433.0,4145211.0,4175877.4099999997,4238348.65,4185693.64,4094381.12,4139868.48,4185355.84,4417865.82,4934713.02,4955654.32,5267998.25,5494224.44,5548686.03
35726082.0,34900944.0,32546398.0,31839191.0,32160177.200000003,31026666.290000003,32158221.23,30258626.04,29557104.09,29009129.71,29845257.73,29855236.7,33007229.67,33777703.24,35183712.17,44112354.07
37157243.0,38911350.0,39776161.0,41625819.0,36710414.83,36975323.349999994,29863458.660000004,28053697.669999998,33569926.6,34707947.22,35479082.754999995,36250218.29,36012320.36,36100834.73,36668061.0,38427333.6
41996442.0,43849044.0,25886778.0,26089723.0,26728826.01,25192621.55,25266773.09,24830278.03,23218886.8,24769244.43,26937510.505,29105776.58,29668054.08,33728676.8,35753543.95,45104062.59
3785367.0,5695289.0,5949295.0,5974093.0,6361592.46,9791382.75,10353013.73,10170658.76,10066367.0725,9962075.385,9857783.6975,9753492.01,10266356.19,10369401.53,11144563.86,10634167.32
40725260.0,40725260.0,47376404.0,38412236.0,28613888.14,29994289.770000003,29244424.52,34943675.04,32793239.32,30642803.6,28492367.88,26341932.16,27087513.03,28100822.53,29796053.57,31045867.95
107274939.0,136974931.0,62378965.0,89785556.0,97981451.28,92397207.0,141307642.0,62029241.36,60542528.28,61371810.575,62201092.87,62201092.87,62201092.87,62201092.87,62201092.87,62201092.87
45761516.0,46431626.0,47101736.0,46589877.0,45703879.879999995,44657660.18,43467611.57,42099731.56,41866157.025000006,41632582.49,44884379.89,48136177.29,53423209.28,55698359.43,61645648.06,62772595.93
17025522.0,18663899.0,18549050.0,18391398.0,18607416.39,18146055.86,20241351.880000003,15196366.879999999,15261367.6,15326368.319999998,15391369.04,15866071.1,16262081.95,17562273.33,18406906.11,18758912.5
3261935.0,3320451.0,3273756.0,3654167.0,3818380.28,2371243.38,2444253.5,2558340.02,2606827.995,2655315.97,2709329.43,3254302.07,3501789.13,4459228.87,4688107.66,5996874.27
4527877.0,4528331.0,4742570.0,4751225.0,4607111.21,4655634.77,4631808.09,4607981.41,3968245.2750000004,3328509.14,2688773.005,2049036.87,2190583.68,2583332.48,2926860.33,3489887.64
8002332.0,8103325.0,8110902.0,7611364.0,13642415.39,16736438.110000001,11219870.45,7030112.28,7156539.13,7282965.98,7409392.83,7535819.68,7802330.07,8877310.85,8424214.5,7904644.35
4472773.0,4453786.0,4565088.0,4735992.0,4779043.0200000005,4920937.71,4761685.91,4681620.069999999,5316524.2299999995,5951428.39,6586332.55,7221236.71,6957929.51,7161512.18,7266033.9,8046262.61
11059290.0,11929335.0,12239200.0,12414489.0,13046997.66,13283549.71,13020666.84,11630904.920000002,11438845.307500001,11246785.695,11054726.082500001,10862666.47,12839459.13,13243208.53,14147287.11,14909478.4
8058367.0,8227813.0,8927360.0,9392409.0,9353503.4,8399210.23,8069225.369999999,8010860.84,8021079.3075,8031297.775,8041516.2425,8051734.71,8288209.49,8658404.66,8922548.74,9498356.0
46277951.0,47742021.0,47464748.0,49111159.0,49159693.699999996,52064762.89,59256513.449999996,51407627.940000005,50412162.24,51232347.37,54367395.34,53400441.39,54878680.62,60950752.84,61296510.27,66566231.26
5373972.0,5670371.0,5802131.0,4099021.0,4360767.0,4674925.74,4751885.73,4750312.66,4978683.066666666,5207053.473333334,5435423.88,5725226.86,5997339.81,6362094.23,6807222.28,8309223.75
1697468.0,2207077.0,2117994.0,2405257.0,2295370.59,2322344.63,2320316.63,2289901.75,2329407.2649999997,2368912.78,2427057.23,2546626.22,2626056.12,2797122.62,3143791.99,4282124.41
12832257.0,13174523.0,13311072.0,13823826.0,14505097.76,13750224.08,13644049.57,13345239.68,13633676.75,13922113.82,14210550.89,14950896.21,15274059.72,17065627.54,18603239.55,18347303.16
8013033.0,17895775.0,8325168.0,8265213.0,7202478.7299999995,7031073.84,6863042.779999999,6599400.319999999,6674060.14,6748719.96,6599741.98,6650984.97,6733966.17,6869293.38,7089324.64,7465665.46
