BDAP,Accertamenti ACCENSIONE PRESTITI,Accertamenti ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Accertamenti ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Accertamenti ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Accertamenti ENTRATE EXTRATRIBUTARIE,Accertamenti ENTRATE IN CONTO CAPITALE,Accertamenti ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Accertamenti TRASFERIMENTI CORRENTI,Riscossioni in CC ACCENSIONE PRESTITI,Riscossioni in CC ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Riscossioni in CC ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Riscossioni in CC ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Riscossioni in CC ENTRATE EXTRATRIBUTARIE,Riscossioni in CC ENTRATE IN CONTO CAPITALE,Riscossioni in CC ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Riscossioni in CC TRASFERIMENTI CORRENTI,Riscossioni in CR ACCENSIONE PRESTITI,Riscossioni in CR ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"Riscossioni in CR ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",Riscossioni in CR ENTRATE DA RIDUZIONE DI ATTIVITA' FINANZIARIE,Riscossioni in CR ENTRATE EXTRATRIBUTARIE,Riscossioni in CR ENTRATE IN CONTO CAPITALE,Riscossioni in CR ENTRATE PER CONTO TERZI E PARTITE DI GIRO,Riscossioni in CR TRASFERIMENTI CORRENTI
111142930451558302,0.0,0.0,770.9121215531795,0.0,1287.7749296567247,1246.581862689927,505.1197974113675,504.90143500281374,0.0,0.0,760.7014068655036,0.0,608.4641136747326,374.6595723128869,503.8867585818796,218.0552391671356,0.0,0.0,213.66272369161507,0.0,490.64267304445696,430.84159257175014,0.17108610016882386,449.3172594259989
111142930456078402,0.0,0.0,414.80006626506025,0.0,84.17401807228916,216.87675903614456,220.05406626506024,822.9955180722892,0.0,0.0,290.8749578313253,0.0,81.4293373493976,104.12511445783133,217.46824096385544,760.6692891566265,0.0,0.0,57.15507228915663,0.0,0.8385662650602409,0.0,0.15853012048192772,8.201
111142930549694901,0.0,0.0,257.7803790459966,0.0,91.57839757240205,199.7827385008518,56.754384582623516,43.39517461669506,0.0,0.0,256.5091226575809,0.0,81.20140545144804,106.47534178023851,55.46535562180579,41.60422806643952,0.0,0.0,5.706625851788756,0.0,11.453613713798978,5.912731047700171,1.1646092419080067,0.1826980408858603
111242928159168602,0.0,0.0,259.42626151012894,0.0,730.0406015960712,1630.1450460405156,570.408993247391,530.363443830571,0.0,0.0,244.93039901780233,0.0,581.3453959484347,1137.038993247391,537.6202271332105,303.508262737876,0.0,0.0,15.943818293431553,0.0,262.59019030079804,415.71396562308166,31.343873542050336,75.20989564149785
111342928035516202,0.0,0.0,1141.8792327889666,0.0,181.8878997634024,166.20539327139477,125.4571977609787,214.97987304518438,0.0,0.0,584.4013206186162,0.0,70.45863552426569,115.85807490334122,116.53579289053032,193.42339863812109,0.0,0.0,146.73630301806222,0.0,37.951696577990646,4.4577410698828555,1.4218212245369035,29.496897397426277
111442929417157902,0.0,0.0,497.7695532994924,0.0,242.65707614213198,246.36602030456854,282.12585786802026,84.46164467005076,0.0,0.0,410.381807106599,0.0,215.59060913705585,194.4765685279188,257.0235837563452,72.66813197969543,0.0,0.0,172.9356040609137,0.0,19.354680203045685,68.39364467005076,0.25380710659898476,0.0
111642930521380602,0.0,0.0,554.0706026365348,0.0,132.42185499058382,1454.552777777778,280.2501600753296,273.4824293785311,0.0,0.0,438.6456497175141,0.0,47.95443502824859,620.0616290018831,275.70684557438796,176.2178342749529,0.0,0.0,127.34941619585686,0.0,59.744105461393595,180.44135593220338,3.6440677966101696,80.16526365348399
111742930520228201,0.0,104.52797977073499,623.7869622387053,0.0,176.80903910991233,104.41829467296022,1450.640538772758,269.9583081591369,0.0,104.52797977073499,435.0076372218476,0.0,68.5297639919083,67.35991571139583,1418.489409305462,157.1796931894808,0.0,0.0,28.417359406608227,0.0,67.02600134861767,22.405670937289276,2.530607552258935,84.64753809844909
111742930546032201,0.0,0.0,1016.7242028985507,0.0,391.1540579710145,1675.9417028985506,278.8782971014493,171.84289855072464,0.0,0.0,988.6280434782609,0.0,263.759347826087,370.98398550724636,278.63496376811594,128.10192028985506,0.0,0.0,15.384565217391305,0.0,1.6847101449275363,733.8643115942028,0.06083333333333333,1.2572463768115942
111842930472913601,0.0,0.0,406.15965449915115,0.0,312.04290237691004,213.74534125636674,168.23912648556876,544.7246536502547,0.0,0.0,282.01488879456707,0.0,253.62475127334463,95.87981069609506,166.00060865874363,506.1498811544991,0.3615993208828523,0.0,98.08892020373514,0.0,61.65823174872666,16.45323259762309,1.5298709677419355,32.153133276740235
111942930075789802,0.0,0.0,1141.877833173538,0.0,208.9697890699904,841.2944966442954,293.014573346117,161.76316395014382,0.0,0.0,1061.7413902205178,0.0,143.0407766059444,46.69260786193672,292.6443240651966,129.18169702780443,0.0,0.0,77.36985618408437,0.0,51.04920421860019,292.04677852348993,0.11268456375838927,13.910604026845638
111942930475464201,202.15105807935595,0.0,411.8669062679701,123.1793502012651,185.08597814836114,249.11668085106385,110.83771017826336,105.53529039677976,123.1793502012651,0.0,371.1355664174813,40.06026566992524,114.93225416906267,226.6465048878666,110.79078665899942,90.921645773433,0.0,0.0,32.85337320299023,39.0905520414031,42.1716354226567,29.824650948821162,0.0,12.458875215641173
112242929589459502,0.0,0.0,930.8273209549072,0.0,363.00824933687,3150.2683819628646,342.54480106100795,497.9760477453581,0.0,0.0,815.1488594164456,0.0,122.03172413793104,1115.6452785145889,320.29840848806367,121.05976127320955,0.0,0.0,56.07981432360743,0.0,26.534668435013263,923.7859946949602,0.0,159.795225464191
