BDAP,Accertamento in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Accertamento in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Accertamento in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Accertamento in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Accertamento in CC ENTRATE EXTRATRIBUTARIE,Accertamento in CC ENTRATE TRIBUTARIE,Riscossione in CC ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CC ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CC ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CC ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CC ENTRATE EXTRATRIBUTARIE,Riscossione in CC ENTRATE TRIBUTARIE,Riscossione in CR ENTRATE DA SERVIZI PER CONTO DI TERZI,Riscossione in CR ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,"Riscossione in CR ENTRATE DERIVANTI DA ALIENAZIONE, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONI DI CREDITI",Riscossione in CR ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Riscossione in CR ENTRATE EXTRATRIBUTARIE,Riscossione in CR ENTRATE TRIBUTARIE
111142930451558302,204.90327695560254,294.9260042283298,1602.7494714587738,597.8398520084567,1340.6707188160676,277.2362579281184,201.2394291754757,189.21775898520085,376.8837209302326,568.0618393234672,825.8366807610994,269.3213530655391,22.02906976744186,0.0,403.4889006342495,179.7436575052854,565.4371035940803,0.78276955602537
111142930456078402,133.15486725663717,0.0,230.96073008849558,811.6117256637168,182.10730088495575,192.39767699115043,131.72676991150442,0.0,92.91095132743362,725.4651548672566,34.19690265486726,92.04590707964601,21.522676991150444,0.0,45.376106194690266,141.8617256637168,38.538716814159294,69.22123893805309
111142930549694901,52.59697732997481,0.0,113.10458876355273,156.01577045230533,70.35538276201949,217.87777899463367,49.6626875479137,0.0,89.33939327565436,152.53061000985653,64.33501259445843,209.77340926514074,6.973825429854342,0.0,57.06954331398533,2.8403241704084987,3.9709779870769903,9.466980615485708
111242928159168602,142.14484007242004,0.0,1784.417622208811,770.5998792999396,434.09474954737476,105.43693421846712,141.6475558237779,0.0,235.47917923958963,766.2721786360893,376.56004828002415,102.13699456849729,2.4061557030778515,0.0,297.7911888955945,5.594447797223898,44.77066988533494,11.228726614363307
111342928035516202,97.78963585434174,617.5225770308123,13.213893557422969,361.2290476190476,30.365070028011203,391.92546218487394,92.37557422969188,587.3029691876751,12.77450980392157,296.82610644257704,21.356190476190477,194.59994397759104,4.297170868347339,62.005350140056024,9.599271708683473,42.846722689075634,36.30302521008404,85.8693837535014
111442929417157902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111642930521380602,121.10228233305156,0.0,4269.447168216399,398.39729501267965,79.49196956889264,242.14539306846999,88.20710059171597,0.0,44.290786136939985,242.24852071005918,41.523245984784445,115.20710059171597,6.008453085376162,295.8748943364328,286.9754860524091,52.2502113271344,19.290786136939982,99.5004226542688
111742930520228201,74.46496732871837,119.98414957624377,140.33816393866857,381.33855211231156,162.95885359384098,211.805460309245,72.3301416833797,119.98414957624377,71.00342886717992,361.31351491233744,15.754027301546225,95.21213689590476,0.3564080998900175,16.011774600504626,7.918483534967976,3.3710940027172156,27.369282525716503,89.9614414181277
111742930546032201,100.72079772079772,0.0,876.3019943019943,391.74074074074076,226.67521367521368,351.14529914529913,100.72079772079772,0.0,435.65811965811963,389.0940170940171,173.12535612535612,153.13390313390315,0.0,67.41595441595442,545.8433048433048,0.0,46.2991452991453,97.21937321937322
111842930472913601,110.32200566383474,178.26919873396636,41.12202232217225,476.8168415792104,276.05955355655504,209.1536731634183,107.89788439113777,0.0,29.735465600533068,455.87173080126604,147.67749458604032,155.0126603364984,5.0077461269365315,8.632433783108446,9.687572880226554,39.452023988006,39.30168249208729,48.65458937198068
111942930075789802,79.85497692814766,5.18457481872116,353.6842452208306,402.8088332234674,135.6914963744232,459.8707976268952,79.85497692814766,5.18457481872116,244.8978246539222,359.748846407383,120.29202373104812,321.61964403427817,6.596572181938035,0.0,26.367831245880026,18.952537903757417,16.62425840474621,236.08371786420568
111942930475464201,50.89221272554606,28.49002849002849,25.503086419753085,175.13782051282053,109.06244064577398,216.94100189933522,48.098290598290596,28.49002849002849,23.142687559354226,150.41464862298196,68.66927825261159,181.5585232668566,3.6195394112060777,24.77207977207977,34.26661918328585,8.357431149097815,28.816120607787273,35.808998100664766
112242929589459502,186.58227848101265,0.0,1430.832911392405,848.6658227848101,281.21772151898733,329.67088607594934,176.4354430379747,0.0,1430.832911392405,776.4075949367088,207.85569620253165,227.33164556962026,9.050632911392405,125.6,87.00759493670886,6.546835443037975,2.812658227848101,46.10379746835443
112442930475351402,63.895051779022445,0.0,88.98168594108877,304.0753314260386,31.318531651690375,388.7763831244711,59.26209856146996,0.0,19.95029616794939,194.7323205866946,28.259620421485273,185.2875045331829,15.189446750211548,4.913506870290527,4.872627634282951,21.01049683684571,3.4480597977193055,125.60591529999597
112442930547500901,261.44055944055947,0.0,1217.951048951049,894.3636363636364,637.4405594405595,367.006993006993,248.006993006993,0.0,444.55944055944053,744.5174825174826,298.83216783216784,162.72727272727272,10.832167832167832,0.0,249.62237762237763,22.321678321678323,121.8951048951049,110.66433566433567
112542930549591602,182.87027914614123,0.0,5022.5812807881775,485.74220032840725,269.53858784893265,311.11494252873564,173.89162561576356,0.0,694.1182266009852,435.1018062397373,152.9737274220033,140.0591133004926,2.5435139573070606,0.0,399.07553366174056,33.46469622331691,145.24137931034483,147.70443349753694
112642930518447902,65.54094940010432,0.0,106.31351069379238,243.4621804903495,178.01825769431403,557.9666145018258,65.38445487741262,0.0,105.95722483046427,236.86071987480437,106.88888888888889,278.3823682837767,1.7443922796035471,0.0,84.2681272822118,0.0,15.818988002086593,331.2305685967658
112642930527384301,98.28256880733944,0.0,1072.5688073394494,943.0091743119266,54.408256880733944,130.15779816513762,90.13119266055045,0.0,684.6266055045871,753.4366972477064,32.08532110091743,32.6605504587156,12.612844036697247,125.10275229357798,118.92752293577982,114.02385321100917,19.558715596330273,59.41100917431193
112942930456488402,81.47895335608646,0.0,413.1552901023891,304.56313993174064,75.44141069397043,272.08134243458477,76.09328782707622,0.0,166.4004550625711,259.7662116040956,58.29806598407281,176.90273037542661,4.087030716723549,168.51251422070536,86.82707622298066,21.44368600682594,6.271331058020478,93.29408418657566
