BDAP,Impegni Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Impegni Rimborso Prestiti,Impegni Spese correnti,Impegni Spese in conto capitale,Impegni Spese per incremento attivita' finanziarie,Impegni Uscite per conto terzi e partite di giro,Pagamenti in CC Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Pagamenti in CC Rimborso Prestiti,Pagamenti in CC Spese correnti,Pagamenti in CC Spese in conto capitale,Pagamenti in CC Spese per incremento attivita' finanziarie,Pagamenti in CC Uscite per conto terzi e partite di giro,Pagamenti in CR Chiusura Anticipazioni ricevute da istituto tesoriere/cassiere,Pagamenti in CR Rimborso Prestiti,Pagamenti in CR Spese correnti,Pagamenti in CR Spese in conto capitale,Pagamenti in CR Spese per incremento attivita' finanziarie,Pagamenti in CR Uscite per conto terzi e partite di giro
111142930451558302,83.57543336944745,37.81552546045504,1863.2629306608885,1404.0771235102925,0.0,529.7071939328277,83.57543336944745,37.81552546045504,1415.2991495124593,940.6656067172264,0.0,494.9055362946912,0.0,0.0,507.93663596966417,800.7237486457205,0.0,41.293282773564464
111142930456078402,0.0,13.453273878020713,815.5881242807825,70.23068469505178,0.0,148.8508170310702,0.0,13.453273878020713,581.0701265822785,4.429810126582279,0.0,118.81808975834292,0.0,0.0,150.81749712313004,6.136490218642117,0.0,43.2162830840046
111142930549694901,0.0,0.0,318.4242283364959,66.51301918616909,0.0,46.36324794433903,0.0,0.0,246.23765022137889,52.87691229179844,0.0,45.80636727809404,0.0,0.0,57.59521399957832,5.269634197765128,0.0,3.2178958465106473
111242928159168602,0.0,161.46484794275491,1371.101055456172,2018.7118843172332,60.331621943947525,511.2895527728086,0.0,161.46484794275491,1270.3237388193204,1446.5311270125226,60.331621943947525,498.1462373285629,0.0,0.0,78.27425760286225,249.04800238521167,0.0,0.0
111342928035516202,0.0,51.401218672936864,734.5745277283936,81.6836310718587,0.0,150.63644577622298,0.0,41.91633480529908,631.6028393645696,30.49791707289098,0.0,120.50093794804152,0.0,1.7556147846533234,144.36351866720193,8.945287320066525,0.0,35.836207776567065
111442929417157902,658.4319550982226,65.2012815715622,637.197923292797,62.54853133769879,0.0,97.27539756782039,658.4319550982226,65.2012815715622,452.00873713751173,4.490046772684752,0.0,87.53067352666042,0.0,0.0,187.55277829747428,57.87924228250702,0.0,13.15956969130028
111642930521380602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111742930520228201,304.79475709696453,45.56251229266374,536.7981347931554,45.68861600996525,0.0,167.07977250376976,304.79475709696453,45.56251229266374,408.6658893332459,15.277277912541795,0.0,135.31232282174,19.65054743329181,0.0,42.67443847112043,59.6229666295155,0.0,8.010911951747197
111742930546032201,0.0,26.146301369863014,840.0419520547945,424.9470205479452,0.0,193.9667808219178,0.0,26.146301369863014,708.101301369863,373.60527397260273,0.0,193.9667808219178,0.0,0.0,134.82253424657534,16.695616438356165,0.0,0.0
111842930472913601,0.0,47.047189879844304,1147.926960568624,288.6894102216957,0.0,151.04004653917752,0.0,47.047189879844304,883.7114469453377,155.26381367405654,0.0,132.68489676764258,0.0,0.0,207.5959620917245,41.39060331697411,0.0,16.524246911490945
111942930075789802,0.0,72.09300937766412,1077.6118073316281,292.0391815856778,0.0,186.97416027280477,0.0,72.09300937766412,847.5596930946292,188.36882352941177,0.0,174.0179198635976,0.0,0.0,368.49805626598464,20.05251491901108,0.0,0.3579710144927536
111942930475464201,0.0,62.207604300572626,484.82704335631644,51.716739511511044,32.721748276265046,71.57548790463947,0.0,62.207604300572626,383.16733434614935,14.413598223676523,32.721748276265046,69.81229052237934,0.0,0.0,91.46404581044759,13.71577538857076,0.0,1.1782166647189436
112242929589459502,0.0,126.0379679144385,777.0264171122994,267.379679144385,0.0,158.85647058823528,0.0,126.0379679144385,636.4751336898396,0.0,0.0,130.61173796791445,0.0,0.0,138.40024064171124,236.4553475935829,0.0,76.97754010695186
112442930475351402,0.0,2.0861005440425266,693.8957898999128,52.34747435524731,0.0,102.41704576602018,0.0,2.0861005440425266,524.5302091033681,22.12274969890776,0.0,93.21761867187176,0.0,0.0,153.8389490842643,23.58868142364716,0.0,3.8010033639270735
