BDAP,A1,A2,A3,A4,A5
111142930451558302,3.222222328186035,12.157960018869174,52.880296610169495,4.675196170806885,109.42164261058225
111142930456078402,0.0,0.0,0.0,0.0,0.0
111142930549694901,0.0,0.0,0.0,0.0,0.0
111242928159168602,0.0,0.0,0.0,0.0,0.0
111342928035516202,6.77142858505249,11.696022412934635,143.59768747752483,48.31427764892578,409.3607701050988
111442929417157902,0.0,15.021979732789855,0.0,100.86335754394531,751.098996375242
111642930521380602,0.0,0.0,0.0,0.0,0.0
111742930520228201,0.10179640352725983,6.162770653303879,143.346436228965,152.1400604248047,1029.18270844182
111742930546032201,0.0,0.0,0.0,0.0,0.0
111842930472913601,0.0,0.0,0.0,0.0,0.0
111942930075789802,0.0,0.0,0.0,0.0,0.0
111942930475464201,4.362318992614746,4.798288394632206,87.64448602502631,61.74421310424805,331.08190518587656
112242929589459502,0.0,0.0,0.0,0.0,0.0
112442930475351402,0.0,0.0,0.0,0.0,0.0
112442930547500901,2.0,22.208412775917658,22.206349206349206,1.070480465888977,22.208412775917658
112542930549591602,0.0,0.0,0.0,0.0,0.0
112642930518447902,0.0,0.0,0.0,0.0,0.0
112642930527384301,0.0,0.0,0.0,0.0,0.0
112942930456488402,1.6603773832321167,7.990542704147532,45.394948335246845,65.0895004272461,423.49876125699205
112942930511152602,0.0,0.0,0.0,0.0,0.0
112942930520095401,0.0,0.0,0.0,0.0,0.0
112942930526084102,0.0,0.0,0.0,0.0,0.0
112942930546542602,0.0,0.0,0.0,0.0,0.0
113042930446652901,3.1894736289978027,14.164213798415492,288.9352654387866,123.99449920654297,1345.600312195775
113042930459198201,0.0,0.0,0.0,0.0,0.0
113242929494046101,0.0,0.0,0.0,0.0,0.0
113242929989809401,0.0,0.0,0.0,0.0,0.0
113242930525412901,0.0,0.0,0.0,0.0,0.0
113342930540408502,0.0,0.0,0.0,0.0,0.0
113442928800667002,0.0,0.0,0.0,0.0,0.0
113642930452986502,0.0,0.0,0.0,0.0,0.0
113742928592687902,1.600000023841858,2.700586380888195,8.101929625425653,4.210639476776123,27.00586386430548
113842930528713802,2.3389830589294434,14.316388748879929,140.5215053763441,60.62338638305664,844.6669421025075
113942930453012402,0.0,0.0,0.0,0.0,0.0
113942930543093902,0.0,0.0,0.0,0.0,0.0
114042930544217902,0.0,0.0,0.0,0.0,0.0
114242930474451702,0.0,0.0,0.0,0.0,0.0
114342930531636602,0.0,0.0,0.0,0.0,0.0
114442930473232502,0.0,0.0,0.0,0.0,0.0
114542930460128001,4.0,35.51254767190346,89.26639344262296,14.138100624084473,106.5376421263092
114642930550556102,0.0,0.0,0.0,0.0,0.0
114742930453726801,0.0,0.0,0.0,0.0,0.0
114742930536446301,0.0,0.0,0.0,0.0,0.0
114842930517178501,3.2087912559509277,10.498587449414655,371.11764705882354,91.78785705566406,955.3714941305686
115042930473371901,0.0,0.0,0.0,0.0,0.0
115142930468670302,0.8734177350997925,6.589218429539076,52.887305699481864,70.09632873535156,520.5482521940969
115142930475433101,0.0,0.0,0.0,0.0,0.0
115242928210658501,0.0,0.0,0.0,0.0,0.0
115242930059291902,3.237288236618042,14.03358563937991,194.23232323232324,86.50969696044922,827.9815443619066
115242930541272802,0.0,0.0,0.0,0.0,0.0
115242930543567601,0.0,0.0,0.0,0.0,0.0
115642930548436401,0.0,0.0,0.0,0.0,0.0
115742928293162401,0.0,0.0,0.0,0.0,0.0
115742930529898402,0.0,0.0,0.0,0.0,0.0
116142930549453302,0.0,0.0,0.0,0.0,0.0
116242928577698301,0.0,0.0,0.0,0.0,0.0
116242930137942201,0.0,0.0,0.0,0.0,0.0
116242930508328601,0.0,0.0,0.0,0.0,0.0
116342930537140702,0.0,0.0,0.0,0.0,0.0
116442929000220902,0.0,0.0,0.0,0.0,0.0
116442930516457902,0.0,0.0,0.0,0.0,0.0
116542930525090302,0.0,0.0,0.0,0.0,0.0
116542930529336002,0.0,0.0,0.0,0.0,0.0
116642930529136802,0.0,0.0,0.0,0.0,0.0
116642930539090401,2.5217392444610596,5.899952305156687,346.44256299105933,89.72447204589844,814.1934397244512
116742928739525602,0.0,0.0,0.0,0.0,0.0
116742930532472902,0.0,0.0,0.0,0.0,0.0
116742930546334201,6.974999904632568,11.062281379300957,130.48693379790942,38.10832977294922,442.4912527961598
116842930454465301,2.494252920150757,17.36010739991003,241.91587944219523,64.2365493774414,1510.3292993764217
117042930453153601,3.7941176891326904,7.535034788277355,64.00511676725269,28.33465003967285,256.19118338487056
117042930548083602,12.928571701049805,21.231534878883135,594.4408284023668,34.108619689941406,594.4829604752671
117142930529346502,0.0,0.0,0.0,0.0,0.0
117242930542099701,2.620689630508423,5.693496365578063,389.83209315144,81.35114288330078,495.3342015296775
117442930538907902,4.599999904632568,12.131205953784816,200.696316262354,126.15422821044922,788.5284032110469
117642930521238202,0.0,0.0,0.0,0.0,0.0
117742930508207301,0.0,0.0,0.0,0.0,0.0
117742930530612302,0.0,0.0,0.0,0.0,0.0
117842930473510401,4.470588207244873,10.063771941744468,180.41456708018927,37.87034225463867,342.1682627202605
118242930535103802,0.0,0.0,0.0,0.0,0.0
118742929012963801,0.0,0.0,0.0,0.0,0.0
118742929424205701,0.0,0.0,0.0,0.0,0.0
118742930461810902,0.0,0.0,0.0,0.0,0.0
118742930524063701,3.189655065536499,7.208198654819542,105.02552816901408,45.83493423461914,418.0755233294527
118742930527891202,0.0,0.0,0.0,0.0,0.0
118742930530890402,0.0,0.0,0.0,0.0,0.0
118742930533556102,0.0,0.0,0.0,0.0,0.0
118742930534065002,0.0,0.0,0.0,0.0,0.0
118842930455593301,0.0,0.0,0.0,0.0,0.0
119042929528989701,0.0,0.0,0.0,0.0,0.0
119142930531415701,1.4629629850387573,6.542807354768562,72.90090090090091,52.68931579589844,353.31160858292947
119242930463926601,0.0,0.0,0.0,0.0,0.0
119442930526684402,0.0,0.0,0.0,0.0,0.0
119542930473450501,0.0,0.0,0.0,0.0,0.0
119642930460902801,4.625,4.663227970905903,13.00972630626555,5.671525955200195,37.305823932916056
119642930474784802,0.0,0.0,0.0,0.0,0.0
119642930543451002,3.0,37.51407746749914,74.27044132740335,6.948744297027588,75.0281557702382
119742930531276501,0.0,0.0,0.0,0.0,0.0
119942930518238201,0.0,0.0,0.0,0.0,0.0
119942930529966301,3.8518519401550293,9.380128914810081,87.87655222790357,19.796239852905273,253.26348404365356
121242929321210202,0.06521739065647125,7.108322827526488,3.404237978810106,133.28964233398438,1307.931432066842
