BDAP,A1,A2,A3,A4,A5
118742930534065002,0.0,0.0,0.0,0.0,0.0
118842930455593301,0.0,0.0,0.0,0.0,0.0
119042929528989701,0.0,0.0,0.0,0.0,0.0
119142930531415701,2.0,31.519008385335415,41.031513260530424,9.063464164733887,63.03801920826833
119242930463926601,0.0,0.0,0.0,0.0,0.0
119442930526684402,0.0,0.0,0.0,0.0,0.0
119542930473450501,0.0,0.0,0.0,0.0,0.0
119642930460902801,0.0,0.0,0.0,0.0,0.0
119642930474784802,0.0,0.0,0.0,0.0,0.0
119642930543451002,0.0,0.0,0.0,0.0,0.0
119742930531276501,0.0,0.0,0.0,0.0,0.0
119942930518238201,0.0,0.0,0.0,0.0,0.0
119942930529966301,1.0,7.761226191833941,7.761313868613139,0.5681174397468567,7.761226191833941
121242929321210202,1.7931034564971924,9.370905022872122,1902.297697368421,220.96176147460938,1902.2936391751036
121242930508820902,2.6641221046447754,4.612485862895279,82.06458837230136,68.94932556152344,604.2356289078725
121242930520578002,0.0,0.0,0.0,0.0,0.0
121342930459339902,0.0,0.0,0.0,0.0,0.0
121342930532867601,0.0,0.0,0.0,0.0,0.0
121642928932197502,1.3061224222183228,8.245490847092606,77.17300789662599,105.15940856933594,808.0580947512672
121642930531710102,1.4803920984268188,6.562614100445481,37.50298155024129,70.60063934326172,669.3866153354041
121742928857169102,0.0,0.0,0.0,0.0,0.0
121942930532691902,3.6666667461395264,7.573510094026549,70.8279603876949,20.203876495361328,159.04371719585407
122042930453747502,0.0,0.0,0.0,0.0,0.0
122142930476059801,0.0,0.0,0.0,0.0,0.0
122142930524050702,28.0,2.54412905921681,7.632388835827231,0.9182760715484619,7.632387261854721
122242930516823202,0.0,0.0,0.0,0.0,0.0
122242930542103301,0.0,0.0,0.0,0.0,0.0
122342929604572701,0.0,0.0,0.0,0.0,0.0
122342930478315301,5.590909004211426,18.492465593956954,57.609271523178805,17.15334701538086,406.83423563976163
122342930518922302,0.0,0.0,0.0,0.0,0.0
122342930519827402,0.0,0.0,0.0,0.0,0.0
122642930459111602,2.25,11.76741519161796,62.13496280552604,6.709314823150635,94.13931841956695
122642930550255802,0.0,0.0,0.0,0.0,0.0
122742930457734301,0.0,0.0,0.0,0.0,0.0
122742930471847401,3.9350650310516357,8.36381754142389,188.32993445010925,80.30741119384766,644.0139651885453
122842930473415802,5.0,23.97570821436125,106.68527918781726,15.893595695495605,143.85425091273893
122842930534949401,3.909090995788574,9.558176898539847,38.210152838427945,15.628889083862305,105.13994159448616
122842930544924201,0.0,156.95782727858986,0.0,16.023921966552734,156.95782727858986
122942929194588301,0.0,0.0,0.0,0.0,0.0
123042930475944402,0.0,0.0,0.0,0.0,0.0
123142930463041001,0.0,0.0,0.0,0.0,0.0
123142930474506401,0.0,0.0,0.0,0.0,0.0
123242929642362602,0.0,0.0,0.0,0.0,0.0
123442930527137401,0.0,0.0,0.0,0.0,0.0
123442930543516602,0.0,0.0,0.0,0.0,0.0
123542930548721902,0.0,0.0,0.0,0.0,0.0
123642930526093702,43.14285659790039,16.856299836375367,79.40081120943952,14.206437110900879,117.99410029498524
123642930543678502,2.40816330909729,6.153792748741141,73.01230883998508,96.83683013916016,603.0716643026631
123742930477029802,0.07777778059244156,27.741932017878973,437.9254278728606,70.80072784423828,2496.7738796213143
123742930480013402,0.0,0.0,0.0,0.0,0.0
123842930472867801,0.0,0.0,0.0,0.0,0.0
123942930458498402,0.0,0.0,0.0,0.0,0.0
124242930458525101,0.0,0.0,0.0,0.0,0.0
124242930509420702,0.0,0.0,0.0,0.0,0.0
124342930525826602,0.0,0.0,0.0,0.0,0.0
124342930527986701,0.0,0.0,0.0,0.0,0.0
124542930520334001,1.6666666269302368,2.5159527159361366,10.660848869496231,1.942314863204956,15.095716222984741
124742930477121702,1.1707316637039185,16.984268344709896,71.97326507394767,38.86353302001953,696.3550226691098
124942927917484702,0.0,0.0,0.0,0.0,0.0
125042930526270701,0.0,0.0,0.0,0.0,0.0
125042930531186701,0.0,0.0,0.0,0.0,0.0
125142930542024401,0.2393617033958435,10.973938319394213,197.34538878842676,244.88442993164062,2063.10033848844
125242930523820602,5.262295246124268,20.51044832046649,332.4796320630749,135.71018981933594,1251.1373263946814
125342930454820802,0.0,10.658180712090164,0.0,2.130913019180298,21.316360623719262
125442929568624202,0.0,0.0,0.0,0.0,0.0
125442929765978601,3.153846263885498,9.904965454582786,134.69382391590014,113.51235961914062,1030.1164358171307
125442930529058102,0.0,0.0,0.0,0.0,0.0
125442930531011902,0.0,0.0,0.0,0.0,0.0
125742930453762001,2.25,4.503666849569475,39.55124092520682,5.2786102294921875,54.044001597157006
125742930530905702,0.0,0.0,0.0,0.0,0.0
126142928602946801,0.0,0.0,0.0,0.0,0.0
126142930532118001,0.0,0.0,0.0,0.0,0.0
126442930456035301,0.0,0.0,0.0,0.0,0.0
126442930459684102,0.0,0.0,0.0,0.0,0.0
126542930458708001,0.0,0.0,0.0,0.0,0.0
126542930517020901,1.0,8.248759728351622,8.248091603053435,0.5769364237785339,8.248759728351622
126542930526631202,0.0,0.0,0.0,0.0,0.0
126742930534060501,2.9555554389953613,7.389360343417169,138.30322083921467,44.82188415527344,332.5212173021361
126842930458679802,0.0,0.0,0.0,0.0,0.0
127042930509937601,0.0,0.0,0.0,0.0,0.0
127242930465170502,0.0,0.0,0.0,0.0,0.0
127342930544319402,0.0,0.0,0.0,0.0,0.0
