BDAP,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
111142930456078402,104.37703489608528,25.38317692092583,74.36377673771496,91.20502775336843,19.058044667086783,0.0,0.0,0.0,0.0,32.54613913672173
111142930549694901,103.76481557969124,8.246344913002918,9.390659412410063,115.54898639389491,18.718734211642364,0.0,0.0,0.0,0.0,33.89154224964962
111242928159168602,58.602025369693166,2.850458301663073,2.7164402925455744,97.51283785485778,28.128810092476687,1.9060465465856478,6.683279674366468,0.0,0.0,6.583773091813924
111342928035516202,113.50757443085202,33.26171630201309,78.15393655534415,27.66696386693253,15.631269505570856,2.7849641419658586,21.857308246891606,0.0,0.0,42.71935738125364
111442929417157902,26.14836402590373,0.24449190803318674,0.08392478724904635,121.58267122661752,22.624954214743806,2.9912909116109274,8.370898138352914,0.0,0.0,21.196013513260027
111742930520228201,24.132282687838966,52.77859100159493,38.83168473356412,97.64847460469016,18.498308794846153,3.0176076238695435,20.071448717970497,0.0,0.0,29.69079590099948
111742930546032201,223.8044820836026,3.4378588953978633,5.874716130725455,140.42081179449403,14.651755521910948,0.0,0.0,0.0,0.0,20.173071193047072
111842930472913601,41.15548468815541,26.49744122330311,25.063818932313602,100.33838939039764,21.069603218109012,1.358235782443031,11.011240204907807,0.0,0.0,19.33360871459274
111942930075789802,21.47887604729688,40.19932209103304,16.678237803460654,87.89369116114882,29.324850620700786,0.6513585492498911,26.498099414418327,0.0,0.0,37.029982083815106
111942930475464201,10.504293924316219,14.470531381944326,3.1230378357279447,93.1563195409458,0.33443404697414436,1.9561137422968329,6.918137177172487,0.0,0.0,31.92004762953196
112242929589459502,474.2075959874812,16.860535017956792,91.51720114091039,55.52403215135598,25.37405074001695,2.150073065666359,5.172921199097802,0.0,0.0,30.037772370744737
112442930475351402,27.1891850951227,52.38244809652184,41.93073417233244,68.54830440040568,19.292639935563887,0.1798746803677878,14.187568074029318,0.0,0.0,48.243457673706644
112442930547500901,9.44000912900304,383.27601783111896,106.9834893366752,86.61276859199086,29.95430780133609,2.096162264643487,18.4722104552839,0.0,0.0,76.78723248168396
112542930549591602,119.00241718502897,27.21519636527322,41.55102760766935,88.62070991115367,26.389869712514542,1.1421758275410319,11.336166055627684,0.0,0.0,62.57165611558361
112642930518447902,11.915073868998732,103.07777505490499,28.098195339090964,82.96567158446155,22.300717817022782,0.0,0.0,0.0,0.0,32.490490994696145
112642930527384301,54.37444071077323,6.535608482948155,14.907543418295047,113.72596785810141,17.685662622424537,0.659691471128304,7.775794111364147,0.0,0.0,22.70149150717617
112942930456488402,3.7646895083204077,256.64117815197216,37.372434536985494,96.86152914793959,18.526336709531794,0.2530713571422963,0.0,41.19794175763727,0.0,42.946045526455364
112942930511152602,-11.447046456546264,84.60415044466608,113.8065447285714,-36.262956780686935,9.847414470102049,1.2964039486875016,7.639100381806863,0.0,0.0,102.38570287388544
112942930546542602,96.57881912103147,18.203415021525913,25.032190997715638,86.34272988213917,21.10729978728078,3.194029253618163,17.794375443659636,0.0,0.0,21.759223657142524
113042930446652901,-11.028425188747189,69.27612508654737,33.3802616351628,81.35407727767351,23.165210977278527,9.149410315100043,0.0,0.0,0.0,28.824323436295696
113042930459198201,3.648843635606642,73.86285219516047,17.66497976160721,79.06857997731987,21.902248298680327,3.806711179482447,38.7115398421727,0.0,0.0,26.725415393726625
113242929989809401,70.23417070457533,20.558553851981234,20.69332044068049,90.08890038368628,27.371028444228845,1.6417317685098936,17.013922727162207,0.0,0.0,36.77289114522571
113242930525412901,53.8875674417859,100.32422000785522,138.04778760447215,57.459544426246914,22.5743370483777,2.1183991418928496,13.900988210834514,0.0,0.0,86.13717471628887
113342930540408502,60.432770617548485,69.96938513618998,51.184035742127506,92.91287279727914,23.505515296047253,1.1024764322658902,21.197421243757976,0.0,0.0,61.04979966073103
113442928800667002,49.02206234432717,16.701260082843245,10.658934531353195,95.25619288100079,18.877838980187622,1.5263399756913127,7.113294637127982,0.0,0.0,21.229787877517605
113642930452986502,15.164241453882513,26.918640659045685,8.401577012899738,87.65191108437969,28.580528418610037,0.8960519172320287,5.140189114877946,0.0,0.0,25.318986885744643
113742928592687902,43.63278990836948,32.17028085232289,21.25697564426393,86.12626488609556,18.42292036782084,2.1826008035849465,32.505096967041425,0.0,0.0,19.008411500075933
113942930453012402,85.82442567784479,24.798226548279935,31.832503540868256,94.51255301263343,30.476067002344205,1.3812239347965931,8.40717046491193,0.0,0.0,36.83565786765586
113942930543093902,65.38041812605914,24.950804846828706,44.565522307910854,96.74986328944493,13.95234210539803,0.6107715871254327,5.376039192514139,0.0,0.0,21.329347826797825
114042930544217902,31.336768430687716,20.812185874621733,10.090081771548393,107.59812369868966,21.204020696265076,1.4690603177176165,11.00017772046955,0.0,0.0,36.16953408164983
114242930474451702,33.4831453535784,17.97631316293287,7.917931971948515,104.21735356479861,15.156744214657177,0.10139217844981968,10.014476595888445,0.0,0.0,17.194423834058348
114342930531636602,74.07998274870603,2.020809739028089,1.7273989217795758,94.73623225567356,28.77897336543873,0.0,0.0,0.0,0.0,35.67365110482882
114442930473232502,22.248701354243615,16.582102863458616,5.169839107521685,94.39434270568661,29.229357486701367,2.528947476637396,9.277368701693886,0.0,0.0,1.7599980267492703
114542930460128001,33.87036876666124,48.12406062273723,23.79744880939716,97.81989224415281,23.792368478065075,4.062521757016685,14.769071303482551,0.0,0.0,62.53635453866573
114642930550556102,28.00956935665393,78.73410456605168,123.52192524247512,16.280233165465024,28.23309760898739,0.82258303193793,2.9921527842862043,0.0,0.0,55.276067764517734
114742930453726801,53.56662318042347,0.6111835837163695,0.3526317059720944,101.5309606085009,35.452144871019,1.3664860073679448,10.638547774811832,0.0,0.0,18.643484728579093
114742930536446301,65.68350000282656,36.57260475585683,44.318573426886914,78.06413994865207,22.717152817661145,3.8164877139149977,27.109734625488283,0.0,0.0,41.294335274956914
114842930517178501,37.04510900669904,50.23246551068773,82.10675880918711,10.572574384114768,22.618766724691493,4.657767734725306,4.001143824879339,0.0,0.0,39.353014974788834
115042930473371901,12.576363363297984,93.73669819771318,38.71340828215373,122.43778254453646,29.067492992055588,0.0,1.643764330679118,0.0,0.0,35.21901681813817
115142930468670302,151.31959956414266,28.795607427841546,75.61890199668879,57.4158409694145,17.022698478774025,7.147295403859459,0.0,0.0,0.0,30.174560472090068
115142930475433101,86.71922228394205,9.119007342208967,30.113953979515884,110.65221781412863,16.475952934361885,0.0,0.0,0.0,0.0,53.677538470810696
115242928210658501,98.62562107477308,3.3111127773509677,2.7861049726118625,139.24265235610338,9.994020844196317,1.2956087761892923,5.259498357608871,0.0,0.0,38.96984801852188
115242930059291902,12.316427778910267,76.80815846206856,23.76661604889126,92.08201008117788,33.004474669271765,0.8283884867005357,11.812646913863626,0.0,0.0,53.029246144803025
115242930541272802,2.3201443605773626,302.73392218627833,20.000424334439533,98.52880426471482,24.786221001773676,5.361156207355549,10.694647147174722,93.18967648054824,12.525566050071921,20.23194544548993
115242930543567601,17.664080127276353,56.0448536523423,29.673394814709468,79.72895080906024,21.453495327241864,4.3229785808612275,22.664332368204505,0.0,0.0,33.99152613291422
115642930548436401,122.8237273589581,41.034075195930086,123.76783407424614,27.619939562722024,19.805238632991777,0.09977931203968864,4.049593448812118,0.0,0.0,52.76305414706932
115742928293162401,42.35829072692635,39.64045412323037,43.258970194384034,95.1687761982682,17.189858616667802,0.7555073370341533,4.856648988535277,0.0,0.0,38.11304759745549
115742930529898402,74.66353695599247,3.9147680133664973,3.531681850551427,109.53297604129008,25.10319740565885,1.8307372177710315,0.0,0.0,0.0,16.6354669857674
116142930549453302,56.03952456921476,53.48718938721736,36.78578915711782,94.64540331735232,17.164881292174467,2.214394171516131,22.282916939197605,0.0,0.0,42.7999380017363
116242928577698301,32.93228949555691,70.50827539607913,83.23000781174301,29.084618911315673,23.926410867838342,0.4997159997792322,8.58521695180729,0.0,0.0,23.997972546365908
116242930137942201,34.83102712531657,16.352962700363886,8.205623416298755,97.95497673220355,21.46668929952962,0.0,0.0,0.0,0.0,26.741131816317292
116242930508328601,17.02573829170234,0.0,0.0,91.41642546426847,27.268303034273238,2.568080734784635,6.221485971177086,0.0,0.0,32.48598503616961
116342930537140702,22.60649983226778,55.57166130922384,16.181555190832302,98.5982429294457,25.662805210534145,2.0514588869457517,9.377335687130849,0.0,0.0,22.983945564739127
