BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
114542930460128001,COMUNE DI RIGNANO GARGANICO,FOGGIA,PUGLIA,SUD,0.0,0.0,0.0,0.0,1661185.0,1624199.3,1858362.42,0.0
114642930550556102,COMUNE DI SAN GREGORIO DI CATANIA,CATANIA,SICILIA,ISOLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114742930453726801,COMUNE DI SALE SAN GIOVANNI,CUNEO,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114742930536446301,COMUNE DI ROTONDELLA,MATERA,BASILICATA,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114842930517178501,COMUNE DI CITTADUCALE,RIETI,LAZIO,CENTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115042930473371901,COMUNE DI MANDELLO VITTA,NOVARA,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115142930468670302,COMUNE DI SANT'ANGELO D'ALIFE,CASERTA,CAMPANIA,SUD,0.0,0.0,0.0,752.0,0.0,0.0,0.0,0.0
115142930475433101,COMUNE DI PIMENTEL,SUD SARDEGNA,SARDEGNA,ISOLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115242928210658501,COMUNE DI ALAGNA VALSESIA,VERCELLI,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115242930059291902,COMUNE DI GALLICCHIO,POTENZA,BASILICATA,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115242930541272802,COMUNE DI POZZOLEONE,VICENZA,VENETO,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115242930543567601,COMUNE DI MONSELICE,PADOVA,VENETO,NORD-EST,159.0,7362.0,2315.0,35869.0,2314.79,2314.79,2314.79,36715.16
115642930548436401,COMUNE DI SANT'ANTONIO ABATE,NAPOLI,CAMPANIA,SUD,60.0,57.0,0.0,14020.0,0.0,0.0,0.0,0.0
115742928293162401,COMUNE DI ALA' DEI SARDI,SASSARI,SARDEGNA,ISOLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115742930529898402,COMUNE DI CAVAGLIO D'AGOGNA,NOVARA,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116142930549453302,COMUNE DI RIVISONDOLI,L'AQUILA,ABRUZZO,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116242928577698301,COMUNE DI COLLEGNO,TORINO,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116242930137942201,COMUNE DI MACELLO,TORINO,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116242930508328601,COMUNE DI CAMPODORO,PADOVA,VENETO,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116342930537140702,COMUNE DI ROMANO D'EZZELINO,VICENZA,VENETO,NORD-EST,10673.0,10931.0,21362.0,7544.0,2659.35,1473.96,0.0,1481.22
116442929000220902,COMUNE DI CARRE',VICENZA,VENETO,NORD-EST,952.0,0.0,0.0,0.0,1875.87,1544.09,0.0,3435.63
116442930516457902,COMUNE DI BORRELLO,CHIETI,ABRUZZO,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116542930525090302,COMUNE DI TORRI DEL BENACO,VERONA,VENETO,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116542930529336002,COMUNE DI SAN MAURO LA BRUCA,SALERNO,CAMPANIA,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116642930529136802,COMUNE DI SORI,GENOVA,LIGURIA,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116642930539090401,COMUNE DI SESSA AURUNCA,CASERTA,CAMPANIA,SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116742928739525602,COMUNE DI CISERANO,BERGAMO,LOMBARDIA,NORD-OVEST,9868.0,9967.0,7424.0,5735.0,5758.88,5666.67,5666.67,3333.33
